Date,Price,Date2,Open,High,Low,Close price,Vol.,Change %,Column1,Volatility,Daily Volatility,,,,,,,,,,,,,,,,,,,,,,,,
"May 28, 2020","3,038.00","May 28, 2020","3,035.00","3,065.50","3,019.50","3,038.00",1.88M,0.08%,0.1%,$46.00,1.52%,,,,,,,,,,,,,,,,,,,,,,,,
"May 27, 2020","3,035.50","May 27, 2020","2,994.00","3,039.50","2,965.50","3,035.50",2.11M,1.37%,1.4%,$74.00,2.47%,,,,,,,,,,,,,,,,,,,,,,,,
"May 26, 2020","2,994.50","May 26, 2020","2,948.50","3,019.75","2,947.50","2,994.50",1.80M,0.42%,0.4%,$72.25,2.45%,,,,,,,,,,,,,,,,,,,,,,,,
"May 25, 2020","2,982.12","May 25, 2020","2,967.38","2,989.88","2,954.38","2,982.12",-,0.51%,0.5%,$35.50,1.20%,,,,,,,,,,,,,,,,,,,,,,,,
"May 24, 2020","2,967.12","May 24, 2020","2,947.88","2,968.62","2,947.88","2,967.12",-,0.48%,0.5%,$20.74,0.70%,,,,,,,,,,,,,,,,,,,,,,,,
"May 22, 2020","2,953.00","May 22, 2020","2,936.75","2,957.50","2,903.75","2,953.00",1.38M,0.54%,0.5%,$53.75,1.83%,,,,,,,,,,,,,,,,,,,,,,,,
"May 21, 2020","2,937.00","May 21, 2020","2,972.25","2,973.50","2,933.00","2,937.00",1.61M,-1.06%,1.1%,$40.50,1.36%,,,,,,,,,,,,,,,,,,,,,,,,
"May 20, 2020","2,968.50","May 20, 2020","2,913.50","2,975.75","2,908.50","2,968.50",1.53M,1.70%,1.7%,$67.25,2.31%,,,,,,,,,,,,,,,,,,,,,,,,
"May 19, 2020","2,918.75","May 19, 2020","2,945.00","2,976.25","2,914.25","2,918.75",1.57M,-0.99%,1.0%,$62.00,2.11%,,,,,,,,,,,,,,,,,,,,,,,,
"May 18, 2020","2,948.00","May 18, 2020","2,859.75","2,964.75","2,850.00","2,948.00",1.78M,3.57%,3.6%,$114.75,4.01%,,,,,,,,,,,,,,,,,,,,,,,,
"May 15, 2020","2,846.50","May 15, 2020","2,846.25","2,863.50","2,809.50","2,846.50",1.90M,-0.02%,0.0%,$54.00,1.90%,,,,,,,,,,,,,,,,,,,,,,,,
"May 14, 2020","2,847.00","May 14, 2020","2,820.25","2,853.75","2,760.25","2,847.00",2.50M,1.21%,1.2%,$93.50,3.32%,,,,,,,,,,,,,,,,,,,,,,,,
"May 13, 2020","2,813.00","May 13, 2020","2,839.75","2,876.75","2,786.00","2,813.00",2.59M,-1.38%,1.4%,$90.75,3.20%,,,,,,,,,,,,,,,,,,,,,,,,
"May 12, 2020","2,852.50","May 12, 2020","2,919.25","2,939.25","2,838.00","2,852.50",1.82M,-2.40%,2.4%,$101.25,3.47%,,,,,,,,,,,,,,,,,,,,,,,,
"May 11, 2020","2,922.75","May 11, 2020","2,920.75","2,947.00","2,889.75","2,922.75",1.53M,-0.20%,0.2%,$57.25,1.96%,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2020","2,928.50","May 08, 2020","2,882.00","2,933.00","2,879.75","2,928.50",1.33M,1.68%,1.7%,$53.25,1.85%,,,,,,,,,,,,,,,,,,,,,,,,
"May 07, 2020","2,880.00","May 07, 2020","2,832.00","2,895.00","2,823.00","2,880.00",1.49M,1.64%,1.6%,$72.00,2.54%,,,,,,,,,,,,,,,,,,,,,,,,
"May 06, 2020","2,833.50","May 06, 2020","2,857.75","2,886.25","2,832.00","2,833.50",1.47M,-0.87%,0.9%,$54.25,1.90%,,,,,,,,,,,,,,,,,,,,,,,,
"May 05, 2020","2,858.25","May 05, 2020","2,827.00","2,889.75","2,824.50","2,858.25",1.47M,1.17%,1.2%,$65.25,2.31%,,,,,,,,,,,,,,,,,,,,,,,,
"May 04, 2020","2,825.25","May 04, 2020","2,789.00","2,835.75","2,771.00","2,825.25",1.51M,0.12%,0.1%,$64.75,2.32%,,,,,,,,,,,,,,,,,,,,,,,,
"May 01, 2020","2,821.75","May 01, 2020","2,871.50","2,879.75","2,811.75","2,821.75",1.65M,-2.78%,2.8%,$68.00,2.37%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 30, 2020","2,902.50","Apr 30, 2020","2,956.50","2,965.00","2,878.00","2,902.50",2.03M,-1.31%,1.3%,$87.00,2.94%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 29, 2020","2,941.00","Apr 29, 2020","2,870.50","2,959.75","2,860.75","2,941.00",1.74M,2.57%,2.6%,$99.00,3.45%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 28, 2020","2,867.25","Apr 28, 2020","2,867.75","2,913.50","2,851.00","2,867.25",1.61M,-0.06%,0.1%,$62.50,2.18%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 27, 2020","2,869.00","Apr 27, 2020","2,829.00","2,881.25","2,812.75","2,869.00",1.22M,1.40%,1.4%,$68.50,2.42%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 24, 2020","2,829.50","Apr 24, 2020","2,777.00","2,835.00","2,755.25","2,829.50",1.29M,1.75%,1.8%,$79.75,2.87%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 23, 2020","2,780.75","Apr 23, 2020","2,790.50","2,836.75","2,772.75","2,780.75",1.70M,-0.28%,0.3%,$64.00,2.29%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 22, 2020","2,788.50","Apr 22, 2020","2,737.25","2,808.00","2,717.25","2,788.50",1.37M,2.07%,2.1%,$90.75,3.32%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 21, 2020","2,732.00","Apr 21, 2020","2,807.00","2,833.25","2,717.25","2,732.00",1.97M,-2.65%,2.7%,$116.00,4.13%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 20, 2020","2,806.50","Apr 20, 2020","2,861.50","2,875.50","2,804.25","2,806.50",1.57M,-2.21%,2.2%,$71.25,2.49%,,,,,,,,,,,,,,,,,,,,,,,,
