Date,Price,Date2,Open,High,Low,Close price,Vol.,Change %,Column1,Volatility,Daily Volatility,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 26, 2021","3,809.25","Feb 26, 2021","3,823.25","3,858.50","3,785.00","3,809.25",3.01M,-0.49%,0.5%,$73.50,1.92%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 25, 2021","3,809.25","Feb 25, 2021","3,923.50","3,934.50","3,810.25","3,809.25",2.86M,-2.41%,2.4%,$124.25,3.17%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 24, 2021","3,809.25","Feb 24, 2021","3,876.25","3,927.75","3,851.75","3,809.25",1.94M,1.15%,1.2%,$76.00,1.96%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 23, 2021","3,809.25","Feb 23, 2021","3,878.00","3,896.00","3,804.75","3,809.25",2.28M,0.12%,0.1%,$91.25,2.35%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 22, 2021","3,809.25","Feb 22, 2021","3,905.50","3,914.50","3,861.25","3,809.25",1.51M,-0.76%,0.8%,$53.25,1.36%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 19, 2021","3,809.25","Feb 19, 2021","3,910.50","3,931.00","3,890.25","3,809.25",1.43M,-0.17%,0.2%,$40.75,1.04%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 18, 2021","3,809.25","Feb 18, 2021","3,928.25","3,936.00","3,880.50","3,809.25",1.54M,-0.47%,0.5%,$55.50,1.41%,,,,,,,,,Results,,,,,,,,,,,,,,,
"Feb 17, 2021","3,809.25","Feb 17, 2021","3,929.00","3,932.25","3,896.50","3,809.25",1.38M,0.01%,0.0%,$35.75,0.91%,,,Highest price ever,"$3,959.25",,,,,,,,,,,,,,,,,,,,
"Feb 16, 2021","3,809.25","Feb 16, 2021","3,936.50","3,959.25","3,918.75","3,809.25",1.45M,-0.50%,0.5%,$40.50,1.03%,,,Lowest price ever,"$2,174.00",,,,,Highest v/s Lowest price ever,,,,Price movement in %,,,,Price range prevision,,,,Others,,,
"Feb 15, 2021","3,809.25","Feb 15, 2021","3,936.38","3,951.88","3,935.88","3,809.25",-,0.28%,0.3%,$16.00,0.41%,,,Standard Deviation,381.1161365,,,,,Highest price  ever,,Lowest price ever,,Highest movement,,Lowest movement,,Highest,,Lowest,,Standard Deviation,,Daily volatality,
"Feb 14, 2021","3,809.25","Feb 14, 2021","3,935.50","3,939.88","3,935.50","3,809.25",-,0.14%,0.1%,$4.38,0.11%,,,Highest price movement,10.38%,,,,,"$3,959.25",,"$2,174.00",,10.38%,,0.00%,,"$4,721.48",,"$1,411.77",,381.1161365,,2.34%,
"Feb 12, 2021","3,809.25","Feb 12, 2021","3,905.25","3,936.25","3,890.25","3,809.25",1.05M,0.49%,0.5%,$46.00,1.18%,,,Lowest price movement,0.00%,,,,,,,,,,,,,,,,,,,,
"Feb 11, 2021","3,809.25","Feb 11, 2021","3,907.00","3,920.50","3,884.50","3,809.25",1.30M,0.23%,0.2%,$36.00,0.92%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 10, 2021","3,809.25","Feb 10, 2021","3,912.25","3,928.50","3,878.25","3,809.25",1.56M,-0.06%,0.1%,$50.25,1.28%,,,Average daily volatility,2.34%,,,,,,,,,,,,,,,,,,,,
"Feb 09, 2021","3,905.50","Feb 09, 2021","3,910.50","3,913.25","3,895.00","3,905.50",881.92K,-0.06%,0.1%,$18.25,0.47%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 08, 2021","3,908.00","Feb 08, 2021","3,889.00","3,911.25","3,885.50","3,908.00",972.44K,0.72%,0.7%,$25.75,0.66%,,,Highest price (prevision),"$4,721.48",,,,,,,,,,,,,,,,,,,,
"Feb 05, 2021","3,880.25","Feb 05, 2021","3,864.25","3,888.25","3,860.00","3,880.25",1.14M,0.41%,0.4%,$28.25,0.73%,,,Lowest price (previous),"$1,411.77",,,,,,,,,,,,,,,,,,,,
"Feb 04, 2021","3,864.50","Feb 04, 2021","3,832.75","3,869.75","3,811.25","3,864.50",1.14M,1.07%,1.1%,$58.50,1.53%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 03, 2021","3,823.50","Feb 03, 2021","3,829.50","3,843.50","3,807.75","3,823.50",1.29M,0.14%,0.1%,$35.75,0.93%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 02, 2021","3,818.25","Feb 02, 2021","3,764.75","3,835.75","3,760.00","3,818.25",1.42M,1.39%,1.4%,$75.75,2.01%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2021","3,765.75","Feb 01, 2021","3,692.25","3,777.00","3,656.50","3,765.75",1.69M,1.63%,1.6%,$120.50,3.26%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 29, 2021","3,705.25","Jan 29, 2021","3,770.25","3,777.25","3,685.50","3,705.25",2.69M,-1.96%,2.0%,$91.75,2.43%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 28, 2021","3,779.25","Jan 28, 2021","3,735.25","3,823.50","3,703.50","3,779.25",2.15M,0.93%,0.9%,$120.00,3.21%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 27, 2021","3,744.25","Jan 27, 2021","3,845.25","3,853.00","3,706.50","3,744.25",2.57M,-2.56%,2.6%,$146.50,3.81%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 26, 2021","3,842.50","Jan 26, 2021","3,845.00","3,862.25","3,821.50","3,842.50",1.17M,-0.16%,0.2%,$40.75,1.06%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 25, 2021","3,848.50","Jan 25, 2021","3,835.50","3,853.25","3,788.50","3,848.50",1.76M,0.37%,0.4%,$64.75,1.69%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 22, 2021","3,834.25","Jan 22, 2021","3,846.75","3,849.00","3,813.25","3,834.25",1.19M,-0.31%,0.3%,$35.75,0.93%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 21, 2021","3,846.00","Jan 21, 2021","3,841.50","3,859.75","3,836.50","3,846.00",1.07M,0.03%,0.0%,$23.25,0.61%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 20, 2021","3,845.00","Jan 20, 2021","3,796.75","3,852.50","3,788.50","3,845.00",1.25M,1.44%,1.4%,$64.00,1.69%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 19, 2021","3,790.50","Jan 19, 2021","3,750.00","3,797.00","3,740.50","3,790.50",1.32M,0.46%,0.5%,$56.50,1.51%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 18, 2021","3,773.12","Jan 18, 2021","3,749.38","3,773.38","3,743.00","3,773.12",-,0.62%,0.6%,$30.38,0.81%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 17, 2021","3,750.00","Jan 17, 2021","3,745.38","3,759.88","3,745.38","3,750.00",-,-0.33%,0.3%,$14.50,0.39%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 15, 2021","3,762.25","Jan 15, 2021","3,793.00","3,797.75","3,741.50","3,762.25",1.78M,-0.76%,0.8%,$56.25,1.48%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 14, 2021","3,791.25","Jan 14, 2021","3,808.50","3,817.75","3,786.25","3,791.25",1.17M,-0.33%,0.3%,$31.50,0.83%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 13, 2021","3,803.75","Jan 13, 2021","3,792.00","3,813.50","3,776.50","3,803.75",1.05M,0.24%,0.2%,$37.00,0.98%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 12, 2021","3,794.50","Jan 12, 2021","3,794.25","3,806.75","3,768.00","3,794.50",1.22M,0.07%,0.1%,$38.75,1.02%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 11, 2021","3,792.00","Jan 11, 2021","3,815.50","3,820.75","3,776.50","3,792.00",1.29M,-0.67%,0.7%,$44.25,1.16%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 08, 2021","3,817.50","Jan 08, 2021","3,797.75","3,824.50","3,775.00","3,817.50",1.62M,0.58%,0.6%,$49.50,1.30%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 07, 2021","3,795.50","Jan 07, 2021","3,752.50","3,804.00","3,742.00","3,795.50",1.30M,1.47%,1.5%,$62.00,1.65%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 06, 2021","3,740.50","Jan 06, 2021","3,717.50","3,774.75","3,685.50","3,740.50",2.13M,0.60%,0.6%,$89.25,2.40%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 05, 2021","3,718.25","Jan 05, 2021","3,695.00","3,730.00","3,673.25","3,718.25",1.41M,0.70%,0.7%,$56.75,1.54%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 04, 2021","3,692.25","Jan 04, 2021","3,748.75","3,773.25","3,652.50","3,692.25",2.04M,-1.51%,1.5%,$120.75,3.22%,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 01, 2021","3,748.75","Jan 01, 2021","3,748.75","3,748.75","3,748.75","3,748.75",-,0.00%,0.0%,$0.00,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 31, 2020","3,748.75","Dec 31, 2020","3,725.00","3,753.00","3,715.00","3,748.75",993.34K,0.66%,0.7%,$38.00,1.02%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 30, 2020","3,724.25","Dec 30, 2020","3,724.50","3,738.25","3,716.50","3,724.25",770.00K,0.11%,0.1%,$21.75,0.58%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 29, 2020","3,720.00","Dec 29, 2020","3,731.00","3,747.75","3,714.50","3,720.00",992.64K,-0.20%,0.2%,$33.25,0.89%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 28, 2020","3,727.50","Dec 28, 2020","3,682.00","3,732.25","3,676.00","3,727.50",760.65K,0.88%,0.9%,$56.25,1.53%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 24, 2020","3,695.00","Dec 24, 2020","3,685.25","3,696.00","3,678.50","3,695.00",369.65K,0.37%,0.4%,$17.50,0.47%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 23, 2020","3,681.50","Dec 23, 2020","3,674.25","3,701.75","3,651.00","3,681.50",1.02M,0.12%,0.1%,$50.75,1.38%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 22, 2020","3,677.25","Dec 22, 2020","3,685.00","3,695.00","3,663.75","3,677.25",1.10M,-0.23%,0.2%,$31.25,0.85%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 21, 2020","3,685.75","Dec 21, 2020","3,718.25","3,724.00","3,596.00","3,685.75",1.84M,-1.09%,1.1%,$128.00,3.44%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 18, 2020","3,726.25","Dec 18, 2020","3,721.50","3,733.25","3,707.75","3,726.25",31.89K,0.13%,0.1%,$25.50,0.69%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 17, 2020","3,721.25","Dec 17, 2020","3,704.50","3,724.75","3,699.50","3,721.25",292.92K,0.55%,0.6%,$25.25,0.68%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 16, 2020","3,700.75","Dec 16, 2020","3,697.75","3,711.50","3,687.00","3,700.75",584.71K,0.17%,0.2%,$24.50,0.66%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 15, 2020","3,694.50","Dec 15, 2020","3,653.00","3,695.75","3,642.75","3,694.50",1.03M,1.32%,1.3%,$53.00,1.45%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 14, 2020","3,646.50","Dec 14, 2020","3,677.75","3,698.00","3,642.75","3,646.50",1.49M,-0.40%,0.4%,$55.25,1.50%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 11, 2020","3,661.25","Dec 11, 2020","3,670.00","3,674.75","3,628.25","3,661.25",1.54M,-0.20%,0.2%,$46.50,1.27%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 10, 2020","3,668.50","Dec 10, 2020","3,669.50","3,681.25","3,644.00","3,668.50",1.60M,-0.11%,0.1%,$37.25,1.02%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 09, 2020","3,672.50","Dec 09, 2020","3,707.75","3,714.75","3,659.50","3,672.50",1.79M,-0.80%,0.8%,$55.25,1.49%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 08, 2020","3,702.00","Dec 08, 2020","3,682.75","3,708.00","3,664.25","3,702.00",1.12M,0.30%,0.3%,$43.75,1.19%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 07, 2020","3,690.75","Dec 07, 2020","3,694.75","3,705.00","3,672.25","3,690.75",1.08M,-0.20%,0.2%,$32.75,0.89%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 04, 2020","3,698.00","Dec 04, 2020","3,668.25","3,700.00","3,665.50","3,698.00",991.86K,0.91%,0.9%,$34.50,0.94%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 03, 2020","3,664.50","Dec 03, 2020","3,671.00","3,682.00","3,655.25","3,664.50",1.12M,-0.07%,0.1%,$26.75,0.73%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 02, 2020","3,667.25","Dec 02, 2020","3,661.25","3,672.75","3,642.25","3,667.25",1.11M,0.18%,0.2%,$30.50,0.83%,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 01, 2020","3,660.50","Dec 01, 2020","3,631.00","3,677.50","3,626.00","3,660.50",1.37M,1.03%,1.0%,$51.50,1.42%,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 30, 2020","3,623.25","Nov 30, 2020","3,643.75","3,652.00","3,592.25","3,623.25",1.71M,-0.36%,0.4%,$59.75,1.64%,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 27, 2020","3,636.50","Nov 27, 2020","3,630.25","3,642.75","3,612.75","3,636.50",639.27K,0.43%,0.4%,$30.00,0.83%,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2020","3,620.75","Nov 26, 2020","3,631.62","3,638.62","3,614.12","3,620.75",-,-0.18%,0.2%,$24.50,0.67%,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2020","3,627.25","Nov 25, 2020","3,635.50","3,655.00","3,615.25","3,627.25",1.02M,-0.15%,0.2%,$39.75,1.09%,,,,,,,,,,,,,,,,,,,,,,,,
